name,slug,url
Productivity,productivity,https://www.producthunt.com/categories/productivity
Engineering & Development,engineering-development,https://www.producthunt.com/categories/engineering-development
Design & Creative,design-creative,https://www.producthunt.com/categories/design-creative
Finance,finance,https://www.producthunt.com/categories/finance
Social & Community,social-community,https://www.producthunt.com/categories/social-community
Marketing & Sales,marketing-sales,https://www.producthunt.com/categories/marketing-sales
Health & Fitness,health-fitness,https://www.producthunt.com/categories/health-fitness
Travel,travel,https://www.producthunt.com/categories/travel
Platforms,platforms,https://www.producthunt.com/categories/platforms
Product add-ons,product-add-ons,https://www.producthunt.com/categories/product-add-ons
Physical Products,physical-products,https://www.producthunt.com/categories/physical-products
LLMs,llms,https://www.producthunt.com/categories/llms
Web3,web3,https://www.producthunt.com/categories/web3
AI Agents,ai-agents,https://www.producthunt.com/categories/ai-agents
Voice AI Tools,voice-ai-tools,https://www.producthunt.com/categories/voice-ai-tools
Ecommerce,ecommerce,https://www.producthunt.com/categories/ecommerce
No-code Platforms,no-code-platforms,https://www.producthunt.com/categories/no-code-platforms
Family,family,https://www.producthunt.com/categories/family
Data analysis tools,data-analysis,https://www.producthunt.com/categories/data-analysis
Lifestyle,lifestyle,https://www.producthunt.com/categories/lifestyle
Vibe Coding Tools,vibe-coding,https://www.producthunt.com/categories/vibe-coding
AI Coding Agents,ai-coding-agents,https://www.producthunt.com/categories/ai-coding-agents
AI Code Editors,ai-code-editors,https://www.producthunt.com/categories/ai-code-editors
AI Chatbots,ai-chatbots,https://www.producthunt.com/categories/ai-chatbots
AI Infrastructure Tools,ai-infrastructure,https://www.producthunt.com/categories/ai-infrastructure
Prompt Engineering Tools,prompt-engineering-tools,https://www.producthunt.com/categories/prompt-engineering-tools
AI notetakers,ai-meeting-notetakers,https://www.producthunt.com/categories/ai-meeting-notetakers
Note and writing apps,notes-documents,https://www.producthunt.com/categories/notes-documents
Team collaboration software,team-collaboration,https://www.producthunt.com/categories/team-collaboration
Search,search,https://www.producthunt.com/categories/search
AI Workflow Automation,ai-workflow-automation,https://www.producthunt.com/categories/ai-workflow-automation
Lead generation software,lead-generation,https://www.producthunt.com/categories/lead-generation
Marketing automation platforms,marketing-automation,https://www.producthunt.com/categories/marketing-automation
Video editing,video-editing,https://www.producthunt.com/categories/video-editing
Design resources,design-resources,https://www.producthunt.com/categories/design-resources
Graphic design tools,graphic-design-tools,https://www.producthunt.com/categories/graphic-design-tools
AI Generative Media,ai-generative-media,https://www.producthunt.com/categories/ai-generative-media
Social Networking,social-networking,https://www.producthunt.com/categories/social-networking
Professional networking platforms,professional-networking,https://www.producthunt.com/categories/professional-networking
Community management,community-management,https://www.producthunt.com/categories/community-management
Accounting software,accounting,https://www.producthunt.com/categories/accounting
Fundraising resources,fundraising-resources,https://www.producthunt.com/categories/fundraising-resources
Investing,investing,https://www.producthunt.com/categories/investing
AI Voice Agents,ai-voice-agents,https://www.producthunt.com/categories/ai-voice-agents
AI Dictation Apps,ai-dictation-apps,https://www.producthunt.com/categories/ai-dictation-apps
Code Review Tools,code-review-tools,https://www.producthunt.com/categories/code-review-tools
Figma Plugins,figma-plugins,https://www.producthunt.com/categories/figma-plugins
Static site generators,static-site-generators,https://www.producthunt.com/categories/static-site-generators
AI Presentation Software Apps that use generative AI to create slide decks,ai-presentation-software,https://www.producthunt.com/categories/ai-presentation-software
"Ad blockers Ad blockers remove ads, trackers, and nags for cleaner, faster browsing. This category spans browser tools, DNS filters, and APIs for privacy, focus, and family safety.",ad-blockers,https://www.producthunt.com/categories/ad-blockers
"App switcher App switchers centralize launching, switching, and actions across apps. Expect hotkeys, sidebars, and automation for builders, marketers, and power users.",app-switcher,https://www.producthunt.com/categories/app-switcher
"Content Management Systems Tools that create, organize, and publish website content. From headless APIs to no‑code site builders and docs engines, they serve developers, editors, and teams.",cms,https://www.producthunt.com/categories/cms
"Calendar apps Calendar apps help you plan time, track events, and sync reminders. This category gathers tools that auto-schedule, integrate with chat, and support habit and goal planning.",calendars,https://www.producthunt.com/categories/calendars
"Compliance software Compliance software unites tools that secure access, verify identities, manage user data, and enforce policies—helping teams meet risk, infosec, and HR rules.",compliance-software,https://www.producthunt.com/categories/compliance-software
"Customer support tools Customer support software is a type of software used by businesses to manage and streamline their customer support operations. It typically includes features such as ticket management, live chat, knowledge base management, and customer relationship management (CRM) integration.",customer-support,https://www.producthunt.com/categories/customer-support
"E-signature apps E-signature apps enable secure electronic autographs on documents. Expect tools for signing, sharing, tracking, and PDFs—built for sales, legal, HR, and finance.",e-signature,https://www.producthunt.com/categories/e-signature
"Email clients Email clients manage sending, receiving, and organizing messages. This category spans inbox apps, deliverability services, AI sorting, masking, and developer tools for reliable communication.",email-clients,https://www.producthunt.com/categories/email-clients
"File storage and sharing apps Apps here store, sync, and share files so teams edit, send, and manage content securely. Expect cloud storage, collaboration, media handling, and privacy-first transfer.",file-storage,https://www.producthunt.com/categories/file-storage
"Hiring software Hiring software brings tools that source, vet, and manage candidates, run interviews, and handle onboarding to payroll—ideal for startups, SMBs, and global teams",hiring-software,https://www.producthunt.com/categories/hiring-software
"Knowledge base software Knowledge base software stores and surfaces answers from docs, notes, and apps. It centralizes team know‑how, speeds research, and guides builders and analysts.",knowledge-base,https://www.producthunt.com/categories/knowledge-base
"Legal services Legal services here cover contracts, patents, compliance, IP, and estate planning—tools that draft, review, and manage legal tasks for startups and SMEs.",legal-services,https://www.producthunt.com/categories/legal-services
"Meeting software Tools to make meetings easier. The best course of action is to just have *less* meetings, but if that's not possible you might as well find a tool that helps you plan, summarize, or have more efficient ones.",meetings,https://www.producthunt.com/categories/meetings
"PDF Editor PDF editors are software applications that allow you to modify, edit, and manipulate PDF (Portable Document Format) files. These tools enable users to make changes to the content, such as editing text, adding or removing images, rearranging pages, and merging multiple PDF files together.",pdf-editor,https://www.producthunt.com/categories/pdf-editor
"Password managers Password managers—aka credential vaults—securely store and autofill logins, 2FA, and secrets, helping individuals and teams protect accounts, share access, and stay compliant.",password-managers,https://www.producthunt.com/categories/password-managers
"Presentation Software Presentation Software includes tools for creating structured slide decks—pitch decks, sales presentations, lessons, and team updates. Modern platforms use AI to generate slides from prompts or outlines, helping teams and startups build polished decks faster. These are PowerPoint-style presentation builders with templates, layouts, brand themes, and real-time collaboration.

Discover top-rated presentation software, explore newly launched slide-deck tools, and see which teams built real-world products using these presentation builders.",presentation-software,https://www.producthunt.com/categories/presentation-software
"Product demo Product demo tools turn screens and text into interactive tours, videos, and guides. Teams use them to explain features, onboard faster, and convert curious users.",product-demo,https://www.producthunt.com/categories/product-demo
"Project management software Project management software helps teams and individuals plan, organize, and track projects efficiently. It provides a centralized platform for managing tasks, resources, timelines, and communication within a project.",project-management,https://www.producthunt.com/categories/project-management
